"","county","state","fips","forest.area","land.water","pct.forest","year"
"790","Adair","Iowa",19001,"21,065","364,994",5.77,2018
"791","Adams","Iowa",19003,"7,053","272,278",2.59,2018
"792","Allamakee","Iowa",19005,"168,406","421,622",39.94,2018
"793","Appanoose","Iowa",19007,"83,031","330,494",25.12,2018
"794","Audubon","Iowa",19009,"6,492","283,777",2.29,2018
"795","Benton","Iowa",19011,"30,736","459,862",6.68,2018
"796","Black Hawk","Iowa",19013,"23,495","366,500",6.41,2018
"797","Boone","Iowa",19015,"28,047","367,091",7.64,2018
"798","Bremer","Iowa",19017,"23,383","281,303",8.31,2018
"799","Buchanan","Iowa",19019,"4,128","366,862",1.13,2018
"800","Buena Vista","Iowa",19021,"7,417","371,394",2,2018
"801","Butler","Iowa",19023,"11,849","372,171",3.18,2018
"802","Calhoun","Iowa",19025,"0","366,187",0,2018
"803","Carroll","Iowa",19027,"0","364,993",0,2018
"804","Cass","Iowa",19029,"9,603","361,604",2.66,2018
"805","Cedar","Iowa",19031,"12,492","372,363",3.35,2018
"806","Cerro Gordo","Iowa",19033,"6,798","368,091",1.85,2018
"807","Cherokee","Iowa",19035,"14,650","369,361",3.97,2018
"808","Chickasaw","Iowa",19037,"7,999","323,575",2.47,2018
"809","Clarke","Iowa",19039,"40,553","276,298",14.68,2018
"810","Clay","Iowa",19041,"6,159","366,402",1.68,2018
"811","Clayton","Iowa",19043,"121,575","507,348",23.96,2018
"812","Clinton","Iowa",19045,"29,365","454,458",6.46,2018
"813","Crawford","Iowa",19047,"19,070","457,654",4.17,2018
"814","Dallas","Iowa",19049,"37,913","378,714",10.01,2018
"815","Davis","Iowa",19051,"51,127","323,130",15.82,2018
"816","Decatur","Iowa",19053,"98,280","341,403",28.79,2018
"817","Delaware","Iowa",19055,"15,754","370,591",4.25,2018
"818","Des Moines","Iowa",19057,"60,661","275,033",22.06,2018
"819","Dickinson","Iowa",19059,"1,200","258,491",0.46,2018
"820","Dubuque","Iowa",19061,"61,973","394,621",15.7,2018
"821","Emmet","Iowa",19063,"3,027","257,644",1.17,2018
"822","Fayette","Iowa",19065,"26,067","468,035",5.57,2018
"823","Floyd","Iowa",19067,"33,622","320,882",10.48,2018
"824","Franklin","Iowa",19069,"7,564","372,976",2.03,2018
"825","Fremont","Iowa",19071,"30,849","330,672",9.33,2018
"826","Greene","Iowa",19073,"30,323","365,503",8.3,2018
"827","Grundy","Iowa",19075,"6,308","321,195",1.96,2018
"828","Guthrie","Iowa",19077,"61,212","379,577",16.13,2018
"829","Hamilton","Iowa",19079,"7,577","369,602",2.05,2018
"830","Hancock","Iowa",19081,"174","366,754",0.05,2018
"831","Hardin","Iowa",19083,"17,945","364,790",4.92,2018
"832","Harrison","Iowa",19085,"38,029","448,646",8.48,2018
"833","Henry","Iowa",19087,"34,815","279,410",12.46,2018
"834","Howard","Iowa",19089,"34,424","303,170",11.35,2018
"835","Humboldt","Iowa",19091,"6,264","278,914",2.25,2018
"836","Ida","Iowa",19093,"3,532","276,500",1.28,2018
"837","Iowa","Iowa",19095,"28,347","375,980",7.54,2018
"838","Jackson","Iowa",19097,"92,855","415,835",22.33,2018
"839","Jasper","Iowa",19099,"13,686","469,057",2.92,2018
"840","Jefferson","Iowa",19101,"36,267","279,519",12.97,2018
"841","Johnson","Iowa",19103,"40,262","398,832",10.09,2018
"842","Jones","Iowa",19105,"25,587","369,203",6.93,2018
"843","Keokuk","Iowa",19107,"20,982","371,114",5.65,2018
"844","Kossuth","Iowa",19109,"6,075","623,522",0.97,2018
"845","Lee","Iowa",19111,"70,043","344,840",20.31,2018
"846","Linn","Iowa",19113,"43,926","463,729",9.47,2018
"847","Louisa","Iowa",19115,"18,842","267,268",7.05,2018
"848","Lucas","Iowa",19117,"62,400","277,909",22.45,2018
"849","Lyon","Iowa",19119,"7,019","376,098",1.87,2018
"850","Madison","Iowa",19121,"49,130","359,823",13.65,2018
"851","Mahaska","Iowa",19123,"52,889","366,998",14.41,2018
"852","Marion","Iowa",19125,"43,930","365,133",12.03,2018
"853","Marshall","Iowa",19127,"20,230","366,841",5.51,2018
"854","Mills","Iowa",19129,"34,576","281,952",12.26,2018
"855","Mitchell","Iowa",19131,"8,067","300,552",2.68,2018
"856","Monona","Iowa",19133,"36,720","447,264",8.21,2018
"857","Monroe","Iowa",19135,"66,245","277,944",23.83,2018
"858","Montgomery","Iowa",19137,"13,744","271,954",5.05,2018
"859","Muscatine","Iowa",19139,"42,091","287,279",14.65,2018
"860","O'Brien","Iowa",19141,"826","366,831",0.23,2018
"861","Osceola","Iowa",19143,"0","255,643",0,2018
"862","Page","Iowa",19145,"28,874","342,623",8.43,2018
"863","Palo Alto","Iowa",19147,"6,159","364,518",1.69,2018
"864","Plymouth","Iowa",19149,"23,857","552,937",4.31,2018
"865","Pocahontas","Iowa",19151,"2,478","370,319",0.67,2018
"866","Polk","Iowa",19153,"45,073","378,709",11.9,2018
"867","Pottawattamie","Iowa",19155,"32,818","613,776",5.35,2018
"868","Poweshiek","Iowa",19157,"19,863","375,129",5.29,2018
"869","Ringgold","Iowa",19159,"20,453","344,846",5.93,2018
"870","Sac","Iowa",19161,"4,069","370,156",1.1,2018
"871","Scott","Iowa",19163,"25,400","299,684",8.48,2018
"872","Shelby","Iowa",19165,"4,248","378,487",1.12,2018
"873","Sioux","Iowa",19167,"0","492,131",0,2018
"874","Story","Iowa",19169,"29,050","367,132",7.91,2018
"875","Tama","Iowa",19171,"69,109","462,177",14.95,2018
"876","Taylor","Iowa",19173,"19,032","342,254",5.56,2018
"877","Union","Iowa",19175,"22,839","272,561",8.38,2018
"878","Van Buren","Iowa",19177,"74,084","313,923",23.6,2018
"879","Wapello","Iowa",19179,"65,427","279,041",23.45,2018
"880","Warren","Iowa",19181,"37,615","366,860",10.25,2018
"881","Washington","Iowa",19183,"26,539","365,363",7.26,2018
"882","Wayne","Iowa",19185,"38,343","337,432",11.36,2018
"883","Webster","Iowa",19187,"32,412","459,693",7.05,2018
"884","Winnebago","Iowa",19189,"0","257,107",0,2018
"885","Winneshiek","Iowa",19191,"62,087","441,663",14.06,2018
"886","Woodbury","Iowa",19193,"24,462","561,761",4.35,2018
"887","Worth","Iowa",19195,"1,737","257,216",0.68,2018
"888","Wright","Iowa",19197,"11,376","372,678",3.05,2018
"889","Allen","Kansas",20001,"24,009","323,399",7.42,2018
"890","Anderson","Kansas",20003,"27,539","373,560",7.37,2018
"891","Atchison","Kansas",20005,"22,742","277,626",8.19,2018
"892","Barber","Kansas",20007,"44,079","727,119",6.06,2018
"893","Barton","Kansas",20009,"6,398","576,347",1.11,2018
"894","Bourbon","Kansas",20011,"89,827","408,975",21.96,2018
"895","Brown","Kansas",20013,"15,505","366,128",4.23,2018
"896","Butler","Kansas",20015,"58,736","925,742",6.34,2018
"897","Chase","Kansas",20017,"24,798","497,754",4.98,2018
"898","Chautauqua","Kansas",20019,"106,737","412,654",25.87,2018
"899","Cherokee","Kansas",20021,"67,337","378,279",17.8,2018
"900","Cheyenne","Kansas",20023,"2,823","653,362",0.43,2018
"901","Clark","Kansas",20025,"5,062","625,363",0.81,2018
"902","Clay","Kansas",20027,"23,541","419,540",5.61,2018
"903","Cloud","Kansas",20029,"41,594","459,523",9.05,2018
"904","Coffey","Kansas",20031,"37,206","418,675",8.89,2018
"905","Comanche","Kansas",20033,"6,487","505,431",1.28,2018
"906","Cowley","Kansas",20035,"27,911","724,793",3.85,2018
"907","Crawford","Kansas",20037,"70,009","380,815",18.38,2018
"908","Decatur","Kansas",20039,"1,622","572,277",0.28,2018
"909","Dickinson","Kansas",20041,"5,277","545,230",0.97,2018
"910","Doniphan","Kansas",20043,"42,255","254,838",16.58,2018
"911","Douglas","Kansas",20045,"73,990","303,570",24.37,2018
"912","Edwards","Kansas",20047,"2,361","398,094",0.59,2018
"913","Elk","Kansas",20049,"25,493","416,289",6.12,2018
"914","Ellis","Kansas",20051,"3,309","576,223",0.57,2018
"915","Ellsworth","Kansas",20053,"23,792","462,978",5.14,2018
"916","Finney","Kansas",20055,"0","833,670",0,2018
"917","Ford","Kansas",20057,"4,968","703,478",0.71,2018
"918","Franklin","Kansas",20059,"42,295","369,371",11.45,2018
"919","Geary","Kansas",20061,"46,674","258,915",18.03,2018
"920","Gove","Kansas",20063,"0","685,752",0,2018
"921","Graham","Kansas",20065,"9,525","575,222",1.66,2018
"922","Grant","Kansas",20067,"0","368,039",0,2018
"923","Gray","Kansas",20069,"6,487","556,369",1.17,2018
"924","Greeley","Kansas",20071,"0","498,213",0,2018
"925","Greenwood","Kansas",20073,"73,726","737,704",9.99,2018
"926","Hamilton","Kansas",20075,"4,865","638,383",0.76,2018
"927","Harper","Kansas",20077,"10,224","513,858",1.99,2018
"928","Harvey","Kansas",20079,"7,450","346,100",2.15,2018
"929","Haskell","Kansas",20081,"0","369,817",0,2018
"930","Hodgeman","Kansas",20083,"0","550,549",0,2018
"931","Jackson","Kansas",20085,"22,851","421,093",5.43,2018
"932","Jefferson","Kansas",20087,"77,801","356,295",21.84,2018
"933","Jewell","Kansas",20089,"18,975","585,276",3.24,2018
"934","Johnson","Kansas",20091,"11,563","306,911",3.77,2018
"935","Kearny","Kansas",20093,"0","557,521",0,2018
"936","Kingman","Kansas",20095,"35,386","554,790",6.38,2018
"937","Kiowa","Kansas",20097,"0","462,556",0,2018
"938","Labette","Kansas",20099,"36,204","418,034",8.66,2018
"939","Lane","Kansas",20101,"0","459,185",0,2018
"940","Leavenworth","Kansas",20103,"96,021","300,358",31.97,2018
"941","Lincoln","Kansas",20105,"3,375","460,979",0.73,2018
"942","Linn","Kansas",20107,"95,875","388,116",24.7,2018
"943","Logan","Kansas",20109,"0","686,799",0,2018
"944","Lyon","Kansas",20111,"30,869","547,424",5.64,2018
"945","McPherson","Kansas",20113,"15,467","576,612",2.68,2018
"946","Marion","Kansas",20115,"18,155","610,290",2.97,2018
"947","Marshall","Kansas",20117,"37,712","579,288",6.51,2018
"948","Meade","Kansas",20119,"0","626,956",0,2018
"949","Miami","Kansas",20121,"51,031","377,759",13.51,2018
"950","Mitchell","Kansas",20123,"12,957","460,293",2.81,2018
"951","Montgomery","Kansas",20125,"66,442","416,927",15.94,2018
"952","Morris","Kansas",20127,"14,968","449,786",3.33,2018
"953","Morton","Kansas",20129,"0","467,182",0,2018
"954","Nemaha","Kansas",20131,"11,300","460,514",2.45,2018
"955","Neosho","Kansas",20133,"47,956","369,812",12.97,2018
"956","Ness","Kansas",20135,"0","687,990",0,2018
"957","Norton","Kansas",20137,"9,157","564,098",1.62,2018
"958","Osage","Kansas",20139,"54,877","460,690",11.91,2018
"959","Osborne","Kansas",20141,"22,006","572,294",3.85,2018
"960","Ottawa","Kansas",20143,"24,753","461,720",5.36,2018
"961","Pawnee","Kansas",20145,"11,592","482,887",2.4,2018
"962","Phillips","Kansas",20147,"21,513","572,676",3.76,2018
"963","Pottawatomie","Kansas",20149,"80,034","551,548",14.51,2018
"964","Pratt","Kansas",20151,"4,307","470,918",0.91,2018
"965","Rawlins","Kansas",20153,"0","684,640",0,2018
"966","Reno","Kansas",20155,"50,229","813,867",6.17,2018
"967","Republic","Kansas",20157,"29,340","461,033",6.36,2018
"968","Rice","Kansas",20159,"19,522","466,002",4.19,2018
"969","Riley","Kansas",20161,"50,367","398,204",12.65,2018
"970","Rooks","Kansas",20163,"8,109","572,893",1.42,2018
"971","Rush","Kansas",20165,"9,609","459,722",2.09,2018
"972","Russell","Kansas",20167,"7,614","575,491",1.32,2018
"973","Saline","Kansas",20169,"15,256","461,557",3.31,2018
"974","Scott","Kansas",20171,"0","459,339",0,2018
"975","Sedgwick","Kansas",20173,"8,404","645,794",1.3,2018
"976","Seward","Kansas",20175,"6,487","409,848",1.58,2018
"977","Shawnee","Kansas",20177,"42,194","355,705",11.86,2018
"978","Sheridan","Kansas",20179,"0","573,800",0,2018
"979","Sherman","Kansas",20181,"0","675,973",0,2018
"980","Smith","Kansas",20183,"9,472","573,824",1.65,2018
"981","Stafford","Kansas",20185,"20,335","508,621",4,2018
"982","Stanton","Kansas",20187,"0","435,470",0,2018
"983","Stevens","Kansas",20189,"0","465,719",0,2018
"984","Sumner","Kansas",20191,"9,730","758,339",1.28,2018
"985","Thomas","Kansas",20193,"0","687,920",0,2018
"986","Trego","Kansas",20195,"1,546","575,575",0.27,2018
"987","Wabaunsee","Kansas",20197,"26,707","511,819",5.22,2018
"988","Wallace","Kansas",20199,"0","584,766",0,2018
"989","Washington","Kansas",20201,"33,144","575,190",5.76,2018
"990","Wichita","Kansas",20203,"0","459,847",0,2018
"991","Wilson","Kansas",20205,"54,483","368,039",14.8,2018
"992","Woodson","Kansas",20207,"36,709","323,347",11.35,2018
"993","Wyandotte","Kansas",20209,"24,005","99,903",24.03,2018
"994","Adair","Kentucky",21001,"119,174","263,805",45.18,2016
"995","Allen","Kentucky",21003,"98,506","225,314",43.72,2016
"996","Anderson","Kentucky",21005,"62,717","130,772",47.96,2016
"997","Ballard","Kentucky",21007,"36,522","175,103",20.86,2016
"998","Barren","Kentucky",21009,"61,517","319,970",19.23,2016
"999","Bath","Kentucky",21011,"86,987","181,670",47.88,2016
"1000","Bell","Kentucky",21013,"195,894","231,240",84.71,2016
"1001","Boone","Kentucky",21015,"50,413","164,417",30.66,2016
"1002","Bourbon","Kentucky",21017,"8,881","186,540",4.76,2016
"1003","Boyd","Kentucky",21019,"61,050","103,546",58.96,2016
"1004","Boyle","Kentucky",21021,"31,967","116,932",27.34,2016
"1005","Bracken","Kentucky",21023,"79,559","133,732",59.49,2016
"1006","Breathitt","Kentucky",21025,"271,076","317,028",85.51,2016
"1007","Breckinridge","Kentucky",21027,"156,147","374,718",41.67,2016
"1008","Bullitt","Kentucky",21029,"113,271","192,221",58.93,2016
"1009","Butler","Kentucky",21031,"158,487","276,144",57.39,2016
"1010","Caldwell","Kentucky",21033,"65,029","222,882",29.18,2016
"1011","Calloway","Kentucky",21035,"76,619","262,885",29.15,2016
"1012","Campbell","Kentucky",21037,"47,445","102,224",46.41,2016
"1013","Carlisle","Kentucky",21039,"16,042","127,388",12.59,2016
"1014","Carroll","Kentucky",21041,"25,650","87,875",29.19,2016
"1015","Carter","Kentucky",21043,"194,532","263,763",73.75,2016
"1016","Casey","Kentucky",21045,"172,110","285,271",60.33,2016
"1017","Christian","Kentucky",21047,"207,799","463,381",44.84,2016
"1018","Clark","Kentucky",21049,"42,918","163,316",26.28,2016
"1019","Clay","Kentucky",21051,"263,849","301,474",87.52,2016
"1020","Clinton","Kentucky",21053,"80,948","131,567",61.53,2016
"1021","Crittenden","Kentucky",21055,"81,754","238,143",34.33,2016
"1022","Cumberland","Kentucky",21057,"150,358","198,904",75.59,2016
"1023","Daviess","Kentucky",21059,"48,220","305,018",15.81,2016
"1024","Edmonson","Kentucky",21061,"118,004","197,138",59.86,2016
"1025","Elliott","Kentucky",21063,"81,812","150,576",54.33,2016
"1026","Estill","Kentucky",21065,"131,245","163,630",80.21,2016
"1027","Fayette","Kentucky",21067,"9,195","182,689",5.03,2016
"1028","Fleming","Kentucky",21069,"65,713","224,940",29.21,2016
"1029","Floyd","Kentucky",21071,"200,802","253,113",79.33,2016
"1030","Franklin","Kentucky",21073,"44,779","135,756",32.99,2016
"1031","Fulton","Kentucky",21075,"42,616","147,591",28.87,2016
"1032","Gallatin","Kentucky",21077,"29,599","66,991",44.18,2016
"1033","Garrard","Kentucky",21079,"33,681","149,576",22.52,2016
"1034","Grant","Kentucky",21081,"93,405","166,897",55.97,2016
"1035","Graves","Kentucky",21083,"81,405","356,142",22.86,2016
"1036","Grayson","Kentucky",21085,"142,318","326,945",43.53,2016
"1037","Green","Kentucky",21087,"62,162","184,792",33.64,2016
"1038","Greenup","Kentucky",21089,"150,622","226,859",66.39,2016
"1039","Hancock","Kentucky",21091,"44,169","127,331",34.69,2016
"1040","Hardin","Kentucky",21093,"150,373","403,289",37.29,2016
"1041","Harlan","Kentucky",21095,"259,784","299,537",86.73,2016
"1042","Harrison","Kentucky",21097,"32,055","198,340",16.16,2016
"1043","Hart","Kentucky",21099,"108,283","267,527",40.48,2016
"1044","Henderson","Kentucky",21101,"30,542","299,034",10.21,2016
"1045","Henry","Kentucky",21103,"76,288","186,309",40.95,2016
"1046","Hickman","Kentucky",21105,"54,265","161,900",33.52,2016
"1047","Hopkins","Kentucky",21107,"166,386","354,784",46.9,2016
"1048","Jackson","Kentucky",21109,"171,975","221,792",77.54,2016
"1049","Jefferson","Kentucky",21111,"54,913","255,474",21.49,2016
"1050","Jessamine","Kentucky",21113,"24,577","111,714",22,2016
"1051","Johnson","Kentucky",21115,"134,840","168,992",79.79,2016
"1052","Kenton","Kentucky",21117,"47,335","105,050",45.06,2016
"1053","Knott","Kentucky",21119,"181,464","225,913",80.32,2016
"1054","Knox","Kentucky",21121,"189,932","248,127",76.55,2016
"1055","Larue","Kentucky",21123,"46,090","168,716",27.32,2016
"1056","Laurel","Kentucky",21125,"171,794","284,021",60.49,2016
"1057","Lawrence","Kentucky",21127,"225,467","268,873",83.86,2016
"1058","Lee","Kentucky",21129,"109,567","135,204",81.04,2016
"1059","Leslie","Kentucky",21131,"243,494","258,796",94.09,2016
"1060","Letcher","Kentucky",21133,"206,103","217,029",94.97,2016
"1061","Lewis","Kentucky",21135,"248,356","317,287",78.27,2016
"1062","Lincoln","Kentucky",21137,"65,306","215,529",30.3,2016
"1063","Livingston","Kentucky",21139,"114,770","218,979",52.41,2016
"1064","Logan","Kentucky",21141,"114,398","356,526",32.09,2016
"1065","Lyon","Kentucky",21143,"86,632","164,161",52.77,2016
"1066","McCracken","Kentucky",21145,"46,006","171,580",26.81,2016
"1067","McCreary","Kentucky",21147,"238,342","275,557",86.49,2016
"1068","McLean","Kentucky",21149,"33,134","164,061",20.2,2016
"1069","Madison","Kentucky",21151,"81,915","283,679",28.88,2016
"1070","Magoffin","Kentucky",21153,"160,494","198,014",81.05,2016
"1071","Marion","Kentucky",21155,"82,688","222,043",37.24,2016
"1072","Marshall","Kentucky",21157,"63,904","217,783",29.34,2016
"1073","Martin","Kentucky",21159,"111,690","147,731",75.6,2016
"1074","Mason","Kentucky",21161,"41,008","157,815",25.98,2016
"1075","Meade","Kentucky",21163,"62,379","207,492",30.06,2016
"1076","Menifee","Kentucky",21165,"88,824","131,845",67.37,2016
"1077","Mercer","Kentucky",21167,"34,882","161,975",21.54,2016
"1078","Metcalfe","Kentucky",21169,"87,341","186,215",46.9,2016
"1079","Monroe","Kentucky",21171,"56,233","212,561",26.46,2016
"1080","Montgomery","Kentucky",21173,"28,564","127,201",22.46,2016
"1081","Morgan","Kentucky",21175,"190,212","245,452",77.49,2016
"1082","Muhlenberg","Kentucky",21177,"155,280","306,805",50.61,2016
"1083","Nelson","Kentucky",21179,"91,395","271,471",33.67,2016
"1084","Nicholas","Kentucky",21181,"31,576","126,025",25.06,2016
"1085","Ohio","Kentucky",21183,"178,213","381,635",46.7,2016
"1086","Oldham","Kentucky",21185,"19,672","125,689",15.65,2016
"1087","Owen","Kentucky",21187,"118,663","226,696",52.34,2016
"1088","Owsley","Kentucky",21189,"101,013","126,756",79.69,2016
"1089","Pendleton","Kentucky",21191,"100,702","180,386",55.83,2016
"1090","Perry","Kentucky",21193,"169,156","219,272",77.14,2016
"1091","Pike","Kentucky",21195,"367,662","504,837",72.83,2016
"1092","Powell","Kentucky",21197,"81,001","115,338",70.23,2016
"1093","Pulaski","Kentucky",21199,"204,210","433,399",47.12,2016
"1094","Robertson","Kentucky",21201,"30,622","64,080",47.79,2016
"1095","Rockcastle","Kentucky",21203,"132,357","203,537",65.03,2016
"1096","Rowan","Kentucky",21205,"138,142","183,246",75.39,2016
"1097","Russell","Kentucky",21207,"91,263","181,017",50.42,2016
"1098","Scott","Kentucky",21209,"39,002","182,677",21.35,2016
"1099","Shelby","Kentucky",21211,"52,256","246,912",21.16,2016
"1100","Simpson","Kentucky",21213,"14,848","151,179",9.82,2016
"1101","Spencer","Kentucky",21215,"53,041","122,618",43.26,2016
"1102","Taylor","Kentucky",21217,"81,751","177,348",46.1,2016
"1103","Todd","Kentucky",21219,"54,756","241,280",22.69,2016
"1104","Trigg","Kentucky",21221,"147,327","307,891",47.85,2016
"1105","Trimble","Kentucky",21223,"52,098","99,951",52.12,2016
"1106","Union","Kentucky",21225,"28,867","232,556",12.41,2016
"1107","Warren","Kentucky",21227,"90,380","350,492",25.79,2016
"1108","Washington","Kentucky",21229,"67,204","192,703",34.87,2016
"1109","Wayne","Kentucky",21231,"211,232","309,882",68.17,2016
"1110","Webster","Kentucky",21233,"46,862","213,985",21.9,2016
"1111","Whitley","Kentucky",21235,"175,162","284,910",61.48,2016
"1112","Wolfe","Kentucky",21237,"117,125","142,639",82.11,2016
"1113","Woodford","Kentucky",21239,"16,761","122,885",13.64,2016
"1114","Acadia","Louisiana",22001,"138,924","420,705",33.02,2016
"1115","Allen","Louisiana",22003,"398,534","490,272",81.29,2016
"1116","Ascension","Louisiana",22005,"81,026","193,795",41.81,2016
"1117","Assumption","Louisiana",22007,"120,402","233,325",51.6,2016
"1118","Avoyelles","Louisiana",22009,"286,019","554,503",51.58,2016
"1119","Beauregard","Louisiana",22011,"587,143","746,267",78.68,2016
"1120","Bienville","Louisiana",22013,"456,905","525,846",86.89,2016
"1121","Bossier","Louisiana",22015,"378,825","554,766",68.29,2016
"1122","Caddo","Louisiana",22017,"302,639","599,884",50.45,2016
"1123","Calcasieu","Louisiana",22019,"289,680","700,119",41.38,2016
"1124","Caldwell","Louisiana",22021,"289,260","346,080",83.58,2016
"1125","Cameron","Louisiana",22023,"10,775","1,050,642",1.03,2016
"1126","Catahoula","Louisiana",22025,"195,452","472,766",41.34,2016
"1127","Claiborne","Louisiana",22027,"412,840","491,218",84.04,2016
"1128","Concordia","Louisiana",22029,"248,265","479,057",51.82,2016
"1129","De Soto","Louisiana",22031,"395,899","572,493",69.15,2016
"1130","East Baton Rouge","Louisiana",22033,"126,370","300,599",42.04,2016
"1131","East Carroll","Louisiana",22035,"68,756","283,261",24.27,2016
"1132","East Feliciana","Louisiana",22037,"189,905","291,735",65.1,2016
"1133","Evangeline","Louisiana",22039,"226,953","435,030",52.17,2016
"1134","Franklin","Louisiana",22041,"107,387","406,649",26.41,2016
"1135","Grant","Louisiana",22043,"300,430","424,865",70.71,2016
"1136","Iberia","Louisiana",22045,"122,684","401,138",30.58,2016
"1137","Iberville","Louisiana",22047,"312,492","417,804",74.79,2016
"1138","Jackson","Louisiana",22049,"382,746","371,383",103.06,2016
"1139","Jefferson","Louisiana",22051,"19,581","331,738",5.9,2016
"1140","Jefferson Davis","Louisiana",22053,"39,784","421,462",9.44,2016
"1141","Lafayette","Louisiana",22055,"12,080","172,638",7,2016
"1142","Lafourche","Louisiana",22057,"115,126","744,035",15.47,2016
"1143","La Salle","Louisiana",22059,"355,951","424,126",83.93,2016
"1144","Lincoln","Louisiana",22061,"246,551","302,400",81.53,2016
"1145","Livingston","Louisiana",22063,"314,130","449,882",69.82,2016
"1146","Madison","Louisiana",22065,"168,085","416,327",40.37,2016
"1147","Morehouse","Louisiana",22067,"240,915","516,006",46.69,2016
"1148","Natchitoches","Louisiana",22069,"612,757","831,902",73.66,2016
"1149","Orleans","Louisiana",22071,"5,594","223,617",2.5,2016
"1150","Ouachita","Louisiana",22073,"242,648","404,340",60.01,2016
"1151","Plaquemines","Louisiana",22075,"25,514","622,104",4.1,2016
"1152","Pointe Coupee","Louisiana",22077,"193,734","377,980",51.26,2016
"1153","Rapides","Louisiana",22079,"577,631","871,315",66.29,2016
"1154","Red River","Louisiana",22081,"169,092","257,605",65.64,2016
"1155","Richland","Louisiana",22083,"82,262","361,277",22.77,2016
"1156","Sabine","Louisiana",22085,"478,570","647,411",73.92,2016
"1157","St. Bernard","Louisiana",22087,"6,815","380,316",1.79,2016
"1158","St. Charles","Louisiana",22089,"63,829","262,411",24.32,2016
"1159","St. Helena","Louisiana",22091,"185,868","262,019",70.94,2016
"1160","St. James","Louisiana",22093,"85,978","165,037",52.1,2016
"1161","St. John the Baptist","Louisiana",22095,"75,049","222,694",33.7,2016
"1162","St. Landry","Louisiana",22097,"234,728","600,990",39.06,2016
"1163","St. Martin","Louisiana",22099,"322,386","522,627",61.69,2016
"1164","St. Mary","Louisiana",22101,"159,723","439,738",36.32,2016
"1165","St. Tammany","Louisiana",22103,"303,562","712,865",42.58,2016
"1166","Tangipahoa","Louisiana",22105,"318,535","526,778",60.47,2016
"1167","Tensas","Louisiana",22107,"194,799","410,365",47.47,2016
"1168","Terrebonne","Louisiana",22109,"93,960","947,421",9.92,2016
"1169","Union","Louisiana",22111,"452,657","579,447",78.12,2016
"1170","Vermilion","Louisiana",22113,"7,577","832,558",0.91,2016
"1171","Vernon","Louisiana",22115,"767,912","858,419",89.46,2016
"1172","Washington","Louisiana",22117,"314,883","432,623",72.78,2016
"1173","Webster","Louisiana",22119,"270,061","393,788",68.58,2016
"1174","West Baton Rouge","Louisiana",22121,"50,000","130,899",38.2,2016
"1175","West Carroll","Louisiana",22123,"57,223","230,809",24.79,2016
"1176","West Feliciana","Louisiana",22125,"181,460","272,699",66.54,2016
"1177","Winn","Louisiana",22127,"571,445","612,356",93.32,2016
"1178","Androscoggin","Maine",23001,"194,379","318,167",61.09,2018
"1179","Aroostook","Maine",23003,"3,816,122","4,370,394",87.32,2018
"1180","Cumberland","Maine",23005,"365,126","590,829",61.8,2018
"1181","Franklin","Maine",23007,"1,010,574","1,116,250",90.53,2018
"1182","Hancock","Maine",23009,"895,459","1,081,581",82.79,2018
"1183","Kennebec","Maine",23011,"383,643","608,771",63.02,2018
"1184","Knox","Maine",23013,"170,173","241,798",70.38,2018
"1185","Lincoln","Maine",23015,"191,750","304,221",63.03,2018
"1186","Oxford","Maine",23017,"1,236,873","1,392,401",88.83,2018
"1187","Penobscot","Maine",23019,"1,956,005","2,275,857",85.95,2018
"1188","Piscataquis","Maine",23021,"2,447,281","2,801,598",87.35,2018
"1189","Sagadahoc","Maine",23023,"111,729","172,366",64.82,2018
"1190","Somerset","Maine",23025,"2,355,639","2,620,449",89.89,2018
"1191","Waldo","Maine",23027,"382,445","483,349",79.12,2018
"1192","Washington","Maine",23029,"1,523,430","1,764,709",86.33,2018
"1193","York","Maine",23031,"462,276","649,902",71.13,2018
"1194","Allegany","Maryland",24001,"212,084","275,134",77.08,2018
"1195","Anne Arundel","Maryland",24003,"46,333","266,461",17.39,2018
"1196","Baltimore County","Maryland",24005,"145,987","389,558",37.48,2018
"1197","Calvert","Maryland",24009,"62,073","140,120",44.3,2018
"1198","Caroline","Maryland",24011,"56,606","207,484",27.28,2018
"1199","Carroll","Maryland",24013,"44,658","289,265",15.44,2018
"1200","Cecil","Maryland",24015,"62,008","229,260",27.05,2018
"1201","Charles","Maryland",24017,"167,973","295,401",56.86,2018
"1202","Dorchester","Maryland",24019,"139,802","366,240",38.17,2018
"1203","Frederick","Maryland",24021,"135,804","427,198",31.79,2018
"1204","Garrett","Maryland",24023,"273,156","419,771",65.07,2018
"1205","Harford","Maryland",24025,"82,338","285,236",28.87,2018
"1206","Howard","Maryland",24027,"50,394","162,541",31,2018
"1207","Kent","Maryland",24029,"46,156","180,230",25.61,2018
"1208","Montgomery","Maryland",24031,"100,434","324,099",30.99,2018
"1209","Prince George's","Maryland",24033,"121,404","312,279",38.88,2018
"1210","Queen Anne's","Maryland",24035,"63,096","239,712",26.32,2018
"1211","St. Mary's","Maryland",24037,"105,779","235,562",44.9,2018
"1212","Somerset","Maryland",24039,"92,154","211,392",43.59,2018
"1213","Talbot","Maryland",24041,"50,948","173,287",29.4,2018
"1214","Washington","Maryland",24043,"131,329","299,344",43.87,2018
