county,state,Indian_Alaskan,Hawaiian_Pacific,native
Horry,South Carolina,1691,181,1872
Jasper,South Carolina,27,0,27
Kershaw,South Carolina,147,0,147
Lancaster,South Carolina,188,0,188
Laurens,South Carolina,100,46,146
Lee,South Carolina,25,0,25
Lexington,South Carolina,813,275,1088
McCormick,South Carolina,34,0,34
Marion,South Carolina,189,0,189
Marlboro,South Carolina,810,0,810
Newberry,South Carolina,162,9,171
Oconee,South Carolina,331,13,344
Orangeburg,South Carolina,302,83,385
Pickens,South Carolina,334,62,396
Richland,South Carolina,686,477,1163
Saluda,South Carolina,56,0,56
Spartanburg,South Carolina,526,75,601
Sumter,South Carolina,321,43,364
Union,South Carolina,16,0,16
Williamsburg,South Carolina,100,0,100
York,South Carolina,1605,146,1751
Aurora,South Dakota,101,0,101
Beadle,South Dakota,258,8,266
Bennett,South Dakota,1825,0,1825
Bon Homme,South Dakota,417,0,417
Brookings,South Dakota,351,8,359
Brown,South Dakota,1215,0,1215
Brule,South Dakota,581,0,581
Buffalo,South Dakota,1756,22,1778
Butte,South Dakota,235,0,235
Charles Mix,South Dakota,2945,3,2948
Clark,South Dakota,72,0,72
Clay,South Dakota,551,0,551
Codington,South Dakota,601,12,613
Corson,South Dakota,2858,0,2858
Custer,South Dakota,300,0,300
Davison,South Dakota,431,0,431
Day,South Dakota,592,0,592
Deuel,South Dakota,1,0,1
Dewey,South Dakota,4529,0,4529
Douglas,South Dakota,65,0,65
Edmunds,South Dakota,34,0,34
Fall River,South Dakota,430,0,430
Faulk,South Dakota,98,0,98
Grant,South Dakota,202,0,202
Gregory,South Dakota,289,0,289
Hamlin,South Dakota,24,0,24
Hanson,South Dakota,1,0,1
Hughes,South Dakota,2189,0,2189
Hutchinson,South Dakota,149,0,149
Jackson,South Dakota,1832,0,1832
Jerauld,South Dakota,21,0,21
Kingsbury,South Dakota,9,0,9
Lake,South Dakota,75,0,75
Lawrence,South Dakota,595,32,627
Lincoln,South Dakota,310,17,327
Lyman,South Dakota,1570,5,1575
McCook,South Dakota,29,0,29
Marshall,South Dakota,353,0,353
Meade,South Dakota,864,11,875
Mellette,South Dakota,1200,0,1200
Miner,South Dakota,5,0,5
Minnehaha,South Dakota,4415,39,4454
Moody,South Dakota,825,0,825
Oglala Lakota,South Dakota,13257,0,13257
Pennington,South Dakota,9604,73,9677
Roberts,South Dakota,3821,0,3821
Sanborn,South Dakota,20,0,20
Spink,South Dakota,111,13,124
Stanley,South Dakota,290,35,325
Todd,South Dakota,8345,0,8345
Tripp,South Dakota,680,0,680
Turner,South Dakota,52,0,52
Union,South Dakota,127,0,127
Walworth,South Dakota,548,0,548
Yankton,South Dakota,693,15,708
Ziebach,South Dakota,2109,0,2109
Anderson,Tennessee,379,29,408
Bedford,Tennessee,27,29,56
Benton,Tennessee,69,0,69
Bledsoe,Tennessee,237,0,237
Blount,Tennessee,369,127,496
Bradley,Tennessee,122,30,152
Campbell,Tennessee,161,0,161
Cannon,Tennessee,34,0,34
Carroll,Tennessee,98,49,147
Carter,Tennessee,198,0,198
Cheatham,Tennessee,95,12,107
Chester,Tennessee,7,0,7
Claiborne,Tennessee,60,84,144
Clay,Tennessee,77,0,77
Cocke,Tennessee,290,10,300
Coffee,Tennessee,86,7,93
Crockett,Tennessee,24,0,24
Cumberland,Tennessee,375,0,375
Davidson,Tennessee,1640,452,2092
Decatur,Tennessee,0,0,0
DeKalb,Tennessee,0,15,15
Dickson,Tennessee,220,0,220
Dyer,Tennessee,199,53,252
Fayette,Tennessee,334,1,335
Fentress,Tennessee,32,0,32
Franklin,Tennessee,65,26,91
Gibson,Tennessee,189,39,228
Giles,Tennessee,90,0,90
Grainger,Tennessee,88,0,88
Greene,Tennessee,176,48,224
Grundy,Tennessee,118,6,124
Hamblen,Tennessee,126,139,265
Hamilton,Tennessee,623,147,770
Hancock,Tennessee,19,0,19
Hardeman,Tennessee,56,0,56
Hardin,Tennessee,13,21,34
Hawkins,Tennessee,90,67,157
Haywood,Tennessee,0,8,8
Henderson,Tennessee,0,28,28
Henry,Tennessee,50,0,50
Hickman,Tennessee,69,4,73
Houston,Tennessee,86,17,103
Humphreys,Tennessee,206,6,212
Jackson,Tennessee,0,0,0
Jefferson,Tennessee,64,11,75
Johnson,Tennessee,85,0,85
Knox,Tennessee,1373,182,1555
Lake,Tennessee,16,0,16
Lauderdale,Tennessee,198,0,198
Lawrence,Tennessee,119,49,168
Lewis,Tennessee,0,0,0
Lincoln,Tennessee,69,0,69
Loudon,Tennessee,94,0,94
McMinn,Tennessee,135,26,161
McNairy,Tennessee,46,0,46
Macon,Tennessee,56,32,88
Madison,Tennessee,80,0,80
Marion,Tennessee,62,0,62
Marshall,Tennessee,7,0,7
Maury,Tennessee,286,19,305
Meigs,Tennessee,27,0,27
Monroe,Tennessee,367,0,367
Montgomery,Tennessee,1109,747,1856
Moore,Tennessee,149,0,149
Morgan,Tennessee,31,0,31
Obion,Tennessee,72,11,83
Overton,Tennessee,0,75,75
Perry,Tennessee,9,0,9
Pickett,Tennessee,0,0,0
Polk,Tennessee,45,0,45
Putnam,Tennessee,294,31,325
Rhea,Tennessee,68,0,68
Roane,Tennessee,138,16,154
Robertson,Tennessee,218,48,266
Rutherford,Tennessee,724,37,761
Scott,Tennessee,62,0,62
Sequatchie,Tennessee,9,0,9
Sevier,Tennessee,338,9,347
Shelby,Tennessee,1607,251,1858
Smith,Tennessee,88,0,88
Stewart,Tennessee,61,50,111
Sullivan,Tennessee,188,125,313
Sumner,Tennessee,593,228,821
Tipton,Tennessee,230,94,324
Trousdale,Tennessee,24,0,24
Unicoi,Tennessee,18,0,18
Union,Tennessee,6,44,50
Van Buren,Tennessee,0,0,0
Warren,Tennessee,141,119,260
Washington,Tennessee,377,5,382
Wayne,Tennessee,60,0,60
Weakley,Tennessee,106,18,124
White,Tennessee,8,0,8
Williamson,Tennessee,424,56,480
Wilson,Tennessee,370,69,439
Anderson,Texas,270,9,279
Andrews,Texas,0,21,21
Angelina,Texas,599,5,604
Aransas,Texas,50,0,50
Archer,Texas,40,0,40
Atascosa,Texas,91,0,91
Austin,Texas,48,0,48
Bailey,Texas,75,0,75
Bandera,Texas,296,0,296
Bastrop,Texas,408,0,408
Baylor,Texas,0,0,0
Bee,Texas,213,4,217
Bell,Texas,2434,2338,4772
Bexar,Texas,13229,2058,15287
Blanco,Texas,116,39,155
Bosque,Texas,84,0,84
Bowie,Texas,877,44,921
Brazoria,Texas,2024,56,2080
Brazos,Texas,823,46,869
Brewster,Texas,179,0,179
Brooks,Texas,64,0,64
Brown,Texas,198,0,198
Burleson,Texas,59,0,59
Burnet,Texas,323,0,323
Caldwell,Texas,270,26,296
Calhoun,Texas,19,17,36
Callahan,Texas,11,0,11
Cameron,Texas,1101,72,1173
Camp,Texas,52,0,52
Carson,Texas,79,0,79
Cass,Texas,39,1,40
Castro,Texas,17,1,18
Chambers,Texas,85,0,85
Cherokee,Texas,324,43,367
Childress,Texas,69,0,69
Clay,Texas,119,0,119
Cochran,Texas,0,0,0
Coke,Texas,44,0,44
Coleman,Texas,39,0,39
Collin,Texas,4404,624,5028
Collingsworth,Texas,81,0,81
Colorado,Texas,35,0,35
Comal,Texas,294,45,339
Comanche,Texas,63,0,63
Concho,Texas,10,0,10
Cooke,Texas,260,17,277
Coryell,Texas,618,651,1269
Crane,Texas,6,0,6
Crosby,Texas,0,0,0
Culberson,Texas,0,0,0
Dallam,Texas,87,0,87
Dallas,Texas,9595,1356,10951
Dawson,Texas,159,0,159
Deaf Smith,Texas,92,16,108
Delta,Texas,16,0,16
Denton,Texas,3742,694,4436
DeWitt,Texas,147,0,147
Dickens,Texas,17,0,17
Dimmit,Texas,0,0,0
Donley,Texas,13,0,13
Duval,Texas,32,0,32
Eastland,Texas,71,0,71
Ector,Texas,703,82,785
Ellis,Texas,1767,64,1831
El Paso,Texas,5142,1178,6320
Erath,Texas,477,21,498
Falls,Texas,71,7,78
Fannin,Texas,207,13,220
Fayette,Texas,13,0,13
Fisher,Texas,35,5,40
Floyd,Texas,8,0,8
Fort Bend,Texas,2259,195,2454
Franklin,Texas,22,8,30
Freestone,Texas,14,0,14
Frio,Texas,19,0,19
Gaines,Texas,93,13,106
Galveston,Texas,1481,213,1694
Gillespie,Texas,739,0,739
Goliad,Texas,0,0,0
Gonzales,Texas,57,4,61
Gray,Texas,309,19,328
Grayson,Texas,1620,66,1686
Gregg,Texas,459,121,580
Grimes,Texas,233,0,233
Guadalupe,Texas,507,440,947
Hale,Texas,260,7,267
Hall,Texas,20,0,20
Hamilton,Texas,62,0,62
Hansford,Texas,4,0,4
Hardeman,Texas,41,0,41
Hardin,Texas,110,0,110
Harris,Texas,18386,3129,21515
Harrison,Texas,246,15,261
Hartley,Texas,2,0,2
Haskell,Texas,33,0,33
Hays,Texas,703,96,799
Hemphill,Texas,17,0,17
Henderson,Texas,666,37,703
Hidalgo,Texas,1619,192,1811
Hill,Texas,432,65,497
Hockley,Texas,154,17,171
Hood,Texas,535,7,542
Hopkins,Texas,65,42,107
Houston,Texas,70,0,70
Howard,Texas,437,18,455
Hudspeth,Texas,0,0,0
Hunt,Texas,1047,43,1090
Hutchinson,Texas,369,122,491
Jack,Texas,23,0,23
Jackson,Texas,0,8,8
Jasper,Texas,109,51,160
Jeff Davis,Texas,9,0,9
Jefferson,Texas,821,114,935
Jim Hogg,Texas,2,0,2
Jim Wells,Texas,55,63,118
Johnson,Texas,858,612,1470
Jones,Texas,153,0,153
Karnes,Texas,32,0,32
Kaufman,Texas,523,78,601
Kendall,Texas,265,25,290
Kerr,Texas,420,32,452
Kimble,Texas,36,5,41
Kinney,Texas,7,0,7
Kleberg,Texas,72,0,72
Knox,Texas,30,0,30
Lamar,Texas,207,133,340
Lamb,Texas,35,0,35
Lampasas,Texas,52,88,140
Lavaca,Texas,49,5,54
Lee,Texas,0,0,0
Leon,Texas,89,52,141
Liberty,Texas,394,13,407
Limestone,Texas,379,63,442
Lipscomb,Texas,69,0,69
Live Oak,Texas,22,0,22
Llano,Texas,183,0,183
Lubbock,Texas,3293,186,3479
Lynn,Texas,37,4,41
McCulloch,Texas,2,0,2
McLennan,Texas,1110,110,1220
Madison,Texas,36,26,62
Marion,Texas,43,38,81
Martin,Texas,94,9,103
Mason,Texas,90,0,90
Matagorda,Texas,141,53,194
Maverick,Texas,705,32,737
Medina,Texas,191,11,202
Menard,Texas,25,0,25
Midland,Texas,1144,72,1216
Milam,Texas,35,0,35
Mills,Texas,10,0,10
Mitchell,Texas,82,0,82
Montague,Texas,32,0,32
Montgomery,Texas,2057,346,2403
Moore,Texas,189,0,189
Morris,Texas,75,6,81
Nacogdoches,Texas,587,7,594
Navarro,Texas,942,539,1481
Newton,Texas,21,0,21
Nolan,Texas,112,3,115
Nueces,Texas,1638,242,1880
Ochiltree,Texas,197,0,197
Oldham,Texas,2,0,2
Orange,Texas,311,0,311
Palo Pinto,Texas,194,37,231
Panola,Texas,29,0,29
Parker,Texas,852,79,931
Parmer,Texas,76,24,100
Pecos,Texas,173,17,190
Polk,Texas,763,62,825
Potter,Texas,647,115,762
Presidio,Texas,80,0,80
Rains,Texas,69,0,69
Randall,Texas,570,73,643
Reagan,Texas,0,0,0
Real,Texas,0,0,0
Red River,Texas,39,0,39
Reeves,Texas,26,13,39
Refugio,Texas,18,0,18
Robertson,Texas,76,22,98
Rockwall,Texas,224,0,224
Runnels,Texas,21,0,21
Rusk,Texas,96,22,118
Sabine,Texas,13,20,33
San Augustine,Texas,165,0,165
San Jacinto,Texas,134,13,147
San Patricio,Texas,177,43,220
San Saba,Texas,0,0,0
Schleicher,Texas,0,0,0
Scurry,Texas,69,0,69
Shackelford,Texas,10,0,10
Shelby,Texas,204,0,204
Sherman,Texas,6,0,6
Smith,Texas,778,299,1077
Somervell,Texas,115,60,175
Starr,Texas,40,0,40
Stephens,Texas,98,0,98
Sutton,Texas,12,0,12
Swisher,Texas,256,8,264
Tarrant,Texas,9980,3639,13619
Taylor,Texas,1177,79,1256
Terry,Texas,41,0,41
Titus,Texas,370,12,382
Tom Green,Texas,444,50,494
Travis,Texas,6847,601,7448
Trinity,Texas,48,0,48
Tyler,Texas,12,0,12
Upshur,Texas,294,0,294
Upton,Texas,5,0,5
Uvalde,Texas,143,19,162
Val Verde,Texas,171,31,202
Van Zandt,Texas,358,39,397
Victoria,Texas,269,41,310
Walker,Texas,286,10,296
Waller,Texas,392,24,416
Ward,Texas,176,0,176
Washington,Texas,228,36,264
Webb,Texas,471,33,504
Wharton,Texas,27,0,27
Wheeler,Texas,20,17,37
Wichita,Texas,1443,63,1506
Wilbarger,Texas,160,0,160
Willacy,Texas,133,0,133
Williamson,Texas,1269,401,1670
Wilson,Texas,145,44,189
Winkler,Texas,113,0,113
Wise,Texas,276,124,400
Wood,Texas,321,37,358
Yoakum,Texas,11,0,11
Young,Texas,145,0,145
Zapata,Texas,0,0,0
Zavala,Texas,0,0,0
Beaver,Utah,62,0,62
Box Elder,Utah,647,34,681
Cache,Utah,563,478,1041
Carbon,Utah,172,13,185
Davis,Utah,1453,2118,3571
Duchesne,Utah,802,52,854
Emery,Utah,75,2,77
Garfield,Utah,164,22,186
Grand,Utah,297,62,359
Iron,Utah,1173,27,1200
Juab,Utah,125,10,135
Kane,Utah,105,10,115
Millard,Utah,150,13,163
Morgan,Utah,9,18,27
Rich,Utah,0,0,0
Salt Lake,Utah,8616,16723,25339
San Juan,Utah,7315,40,7355
Sanpete,Utah,301,152,453
Sevier,Utah,379,16,395
Summit,Utah,101,10,111
Tooele,Utah,418,367,785
Uintah,Utah,2731,31,2762
Utah,Utah,2843,4797,7640
Wasatch,Utah,34,5,39
Washington,Utah,2392,1351,3743
Wayne,Utah,8,34,42
Weber,Utah,1712,711,2423
Addison,Vermont,124,0,124
Bennington,Vermont,62,15,77
Caledonia,Vermont,69,0,69
Chittenden,Vermont,432,45,477
Essex,Vermont,20,0,20
Franklin,Vermont,300,0,300
Grand Isle,Vermont,33,0,33
Lamoille,Vermont,196,0,196
Orange,Vermont,111,16,127
Orleans,Vermont,144,0,144
Rutland,Vermont,283,0,283
Washington,Vermont,199,27,226
Windham,Vermont,71,33,104
Windsor,Vermont,62,48,110
Accomack,Virginia,176,0,176
Albemarle,Virginia,209,30,239
Alleghany,Virginia,0,7,7
Amelia,Virginia,31,0,31
Amherst,Virginia,123,22,145
Appomattox,Virginia,12,0,12
Arlington,Virginia,870,260,1130
Augusta,Virginia,184,38,222
Bath,Virginia,0,0,0
Bedford,Virginia,39,17,56
Bland,Virginia,0,0,0
Botetourt,Virginia,97,0,97
Brunswick,Virginia,26,0,26
Buchanan,Virginia,45,0,45
Buckingham,Virginia,106,0,106
Campbell,Virginia,76,7,83
Caroline,Virginia,47,0,47
Carroll,Virginia,111,0,111
Charles City,Virginia,453,0,453
Charlotte,Virginia,10,0,10
Chesterfield,Virginia,1072,135,1207
Clarke,Virginia,6,0,6
Craig,Virginia,0,0,0
Culpeper,Virginia,213,68,281
Cumberland,Virginia,77,0,77
Dickenson,Virginia,4,0,4
Dinwiddie,Virginia,3,24,27
Essex,Virginia,103,0,103
Fairfax,Virginia,2507,838,3345
Fauquier,Virginia,254,27,281
Floyd,Virginia,70,0,70
Fluvanna,Virginia,45,30,75
Franklin,Virginia,140,0,140
Frederick,Virginia,223,69,292
Giles,Virginia,0,21,21
Gloucester,Virginia,81,0,81
Goochland,Virginia,27,0,27
Grayson,Virginia,39,0,39
Greene,Virginia,45,0,45
Greensville,Virginia,11,0,11
Halifax,Virginia,93,0,93
Hanover,Virginia,198,144,342
Henrico,Virginia,728,112,840
Henry,Virginia,49,0,49
Highland,Virginia,3,0,3
Isle of Wight,Virginia,99,22,121
James City,Virginia,138,15,153
King and Queen,Virginia,22,0,22
King George,Virginia,89,0,89
King William,Virginia,141,0,141
Lancaster,Virginia,0,0,0
Lee,Virginia,107,0,107
Loudoun,Virginia,996,361,1357
Louisa,Virginia,83,0,83
Lunenburg,Virginia,14,0,14
Madison,Virginia,0,0,0
Mathews,Virginia,21,3,24
Mecklenburg,Virginia,63,3,66
Middlesex,Virginia,51,16,67
Montgomery,Virginia,368,37,405
Nelson,Virginia,47,0,47
New Kent,Virginia,204,0,204
Northampton,Virginia,4,13,17
Northumberland,Virginia,28,0,28
Nottoway,Virginia,15,40,55
Orange,Virginia,114,0,114
Page,Virginia,26,0,26
Patrick,Virginia,63,0,63
Pittsylvania,Virginia,40,13,53
Powhatan,Virginia,85,35,120
Prince Edward,Virginia,63,0,63
Prince George,Virginia,234,147,381
Prince William,Virginia,1645,615,2260
Pulaski,Virginia,16,0,16
Rappahannock,Virginia,13,0,13
Richmond,Virginia,37,0,37
Roanoke,Virginia,91,17,108
Rockbridge,Virginia,75,0,75
Rockingham,Virginia,257,57,314
Russell,Virginia,18,0,18
Scott,Virginia,57,0,57
Shenandoah,Virginia,38,0,38
Smyth,Virginia,11,36,47
Southampton,Virginia,69,0,69
Spotsylvania,Virginia,579,131,710
Stafford,Virginia,414,93,507
Surry,Virginia,2,0,2
Sussex,Virginia,31,4,35
Tazewell,Virginia,110,44,154
Warren,Virginia,112,0,112
Washington,Virginia,47,12,59
Westmoreland,Virginia,95,1,96
Wise,Virginia,44,15,59
Wythe,Virginia,52,0,52
York,Virginia,163,224,387
Alexandria city,Virginia,276,68,344
Bristol city,Virginia,0,0,0
Buena Vista city,Virginia,6,8,14
Charlottesville city,Virginia,145,23,168
Chesapeake city,Virginia,428,216,644
Colonial Heights city,Virginia,48,21,69
Covington city,Virginia,0,8,8
Danville city,Virginia,24,30,54
Emporia city,Virginia,3,0,3
Fairfax city,Virginia,45,0,45
Falls Church city,Virginia,23,0,23
Franklin city,Virginia,0,0,0
Fredericksburg city,Virginia,56,46,102
Galax city,Virginia,0,0,0
Hampton city,Virginia,725,203,928
Harrisonburg city,Virginia,14,0,14
Hopewell city,Virginia,24,0,24
Lexington city,Virginia,0,0,0
Lynchburg city,Virginia,209,24,233
Manassas city,Virginia,283,84,367
Manassas Park city,Virginia,47,4,51
Martinsville city,Virginia,89,0,89
Newport News city,Virginia,426,366,792
Norfolk city,Virginia,1006,161,1167
Norton city,Virginia,3,0,3
Petersburg city,Virginia,79,16,95
Poquoson city,Virginia,27,0,27
Portsmouth city,Virginia,467,131,598
Radford city,Virginia,4,10,14
Richmond city,Virginia,937,40,977
Roanoke city,Virginia,186,28,214
Salem city,Virginia,34,20,54
Staunton city,Virginia,71,0,71
Suffolk city,Virginia,170,14,184
Virginia Beach city,Virginia,1164,295,1459
Waynesboro city,Virginia,90,41,131
Williamsburg city,Virginia,77,0,77
Winchester city,Virginia,89,17,106
Adams,Washington,715,0,715
Asotin,Washington,294,35,329
Benton,Washington,1335,145,1480
Chelan,Washington,545,58,603
Clallam,Washington,3515,47,3562
Clark,Washington,2726,3632,6358
Columbia,Washington,1,38,39
Cowlitz,Washington,1561,306,1867
Douglas,Washington,324,85,409
Ferry,Washington,1020,15,1035
Franklin,Washington,940,175,1115
Garfield,Washington,9,0,9
Grant,Washington,1128,59,1187
Grays Harbor,Washington,3191,205,3396
Island,Washington,858,298,1156
Jefferson,Washington,639,80,719
King,Washington,13743,16779,30522
Kitsap,Washington,2708,2150,4858
Kittitas,Washington,340,360,700
Klickitat,Washington,672,3,675
Lewis,Washington,550,148,698
Lincoln,Washington,138,32,170
Mason,Washington,1748,286,2034
Okanogan,Washington,4073,46,4119
Pacific,Washington,302,126,428
Pend Oreille,Washington,499,36,535
Pierce,Washington,10829,12396,23225
San Juan,Washington,146,38,184
Skagit,Washington,2216,307,2523
Skamania,Washington,246,18,264
Snohomish,Washington,6920,4251,11171
Spokane,Washington,7248,2507,9755
Stevens,Washington,2185,22,2207
Thurston,Washington,3939,2378,6317
Wahkiakum,Washington,51,1,52
Walla Walla,Washington,443,90,533
Whatcom,Washington,6537,619,7156
Whitman,Washington,232,91,323
Yakima,Washington,10482,181,10663
Barbour,West Virginia,59,0,59
Berkeley,West Virginia,58,0,58
Boone,West Virginia,8,0,8
Braxton,West Virginia,0,29,29
Brooke,West Virginia,1,40,41
Cabell,West Virginia,171,53,224
Calhoun,West Virginia,11,0,11
Clay,West Virginia,12,22,34
Doddridge,West Virginia,22,0,22
Fayette,West Virginia,104,18,122
Gilmer,West Virginia,29,0,29
Grant,West Virginia,0,0,0
Greenbrier,West Virginia,15,0,15
Hampshire,West Virginia,80,0,80
Hancock,West Virginia,79,8,87
Hardy,West Virginia,77,0,77
Harrison,West Virginia,39,30,69
Jackson,West Virginia,246,0,246
Jefferson,West Virginia,124,0,124
Kanawha,West Virginia,322,0,322
Lewis,West Virginia,38,0,38
Lincoln,West Virginia,0,10,10
Logan,West Virginia,129,6,135
McDowell,West Virginia,24,0,24
Marion,West Virginia,199,0,199
Marshall,West Virginia,131,34,165
Mason,West Virginia,22,0,22
Mercer,West Virginia,146,15,161
Mineral,West Virginia,3,0,3
Mingo,West Virginia,16,0,16
Monongalia,West Virginia,137,0,137
Monroe,West Virginia,73,0,73
Morgan,West Virginia,105,0,105
Nicholas,West Virginia,98,0,98
Ohio,West Virginia,90,0,90
Pendleton,West Virginia,0,0,0
Pleasants,West Virginia,0,0,0
Pocahontas,West Virginia,0,0,0
Preston,West Virginia,210,6,216
Putnam,West Virginia,79,33,112
Raleigh,West Virginia,290,10,300
Randolph,West Virginia,110,0,110
Ritchie,West Virginia,0,0,0
Roane,West Virginia,27,0,27
Summers,West Virginia,27,0,27
Taylor,West Virginia,0,0,0
Tucker,West Virginia,0,0,0
Tyler,West Virginia,15,0,15
Upshur,West Virginia,37,0,37
Wayne,West Virginia,60,0,60
Webster,West Virginia,0,4,4
Wetzel,West Virginia,0,0,0
Wirt,West Virginia,0,0,0
Wood,West Virginia,142,32,174
Wyoming,West Virginia,3,0,3
Adams,Wisconsin,156,0,156
Ashland,Wisconsin,1885,11,1896
Barron,Wisconsin,338,0,338
Bayfield,Wisconsin,1489,0,1489
Brown,Wisconsin,6380,46,6426
Buffalo,Wisconsin,28,0,28
Burnett,Wisconsin,621,0,621
Calumet,Wisconsin,284,2,286
Chippewa,Wisconsin,102,0,102
Clark,Wisconsin,85,1,86
Columbia,Wisconsin,225,16,241
Crawford,Wisconsin,57,0,57
Dane,Wisconsin,1555,178,1733
Dodge,Wisconsin,266,25,291
Door,Wisconsin,199,0,199
Douglas,Wisconsin,678,3,681
Dunn,Wisconsin,107,0,107
Eau Claire,Wisconsin,492,369,861
Florence,Wisconsin,18,0,18
Fond du Lac,Wisconsin,513,11,524
Forest,Wisconsin,1351,7,1358
Grant,Wisconsin,65,12,77
Green,Wisconsin,94,16,110
Green Lake,Wisconsin,60,0,60
Iowa,Wisconsin,54,19,73
Iron,Wisconsin,56,0,56
Jackson,Wisconsin,1154,0,1154
Jefferson,Wisconsin,105,37,142
Juneau,Wisconsin,410,5,415
Kenosha,Wisconsin,663,41,704
Kewaunee,Wisconsin,61,0,61
La Crosse,Wisconsin,397,36,433
Lafayette,Wisconsin,72,0,72
Langlade,Wisconsin,120,3,123
Lincoln,Wisconsin,111,0,111
Manitowoc,Wisconsin,401,4,405
Marathon,Wisconsin,356,54,410
Marinette,Wisconsin,199,11,210
Marquette,Wisconsin,67,0,67
Menominee,Wisconsin,3914,0,3914
Milwaukee,Wisconsin,5552,310,5862
Monroe,Wisconsin,480,10,490
Oconto,Wisconsin,336,0,336
Oneida,Wisconsin,463,17,480
Outagamie,Wisconsin,2969,37,3006
Ozaukee,Wisconsin,237,67,304
Pepin,Wisconsin,10,6,16
Pierce,Wisconsin,73,1,74
Polk,Wisconsin,471,14,485
Portage,Wisconsin,262,11,273
Price,Wisconsin,134,110,244
Racine,Wisconsin,1127,78,1205
Richland,Wisconsin,55,5,60
Rock,Wisconsin,398,28,426
Rusk,Wisconsin,55,22,77
St. Croix,Wisconsin,178,2,180
Sauk,Wisconsin,695,10,705
Sawyer,Wisconsin,2794,5,2799
Shawano,Wisconsin,3060,9,3069
Sheboygan,Wisconsin,279,8,287
Taylor,Wisconsin,50,0,50
Trempealeau,Wisconsin,105,0,105
Vernon,Wisconsin,64,10,74
Vilas,Wisconsin,1844,9,1853
Walworth,Wisconsin,306,38,344
Washburn,Wisconsin,232,42,274
Washington,Wisconsin,294,30,324
Waukesha,Wisconsin,986,141,1127
Waupaca,Wisconsin,245,5,250
Waushara,Wisconsin,104,9,113
Winnebago,Wisconsin,970,20,990
Wood,Wisconsin,406,14,420
Albany,Wyoming,317,10,327
Big Horn,Wyoming,155,18,173
Campbell,Wyoming,416,0,416
Carbon,Wyoming,263,9,272
Converse,Wyoming,8,0,8
Crook,Wyoming,137,0,137
Fremont,Wyoming,8527,8,8535
Goshen,Wyoming,153,0,153
Hot Springs,Wyoming,113,0,113
Johnson,Wyoming,381,0,381
Laramie,Wyoming,707,202,909
Lincoln,Wyoming,100,4,104
Natrona,Wyoming,866,43,909
Niobrara,Wyoming,96,0,96
Park,Wyoming,328,3,331
Platte,Wyoming,7,0,7
Sheridan,Wyoming,368,0,368
Sublette,Wyoming,43,0,43
Sweetwater,Wyoming,742,204,946
Teton,Wyoming,77,35,112
Uinta,Wyoming,160,0,160
Washakie,Wyoming,52,0,52
Weston,Wyoming,37,3,40
Daniels,Montana,14,0,14
Prairie,Montana,18,0,18
King,Texas,0,0,0
Wibaux,Montana,4,0,4
Issaquena,Mississippi,0,0,0
Taliaferro,Georgia,0,0,0
Borden,Texas,0,0,0
Keya Paha,Nebraska,0,0,0
Skagway Municipality,Alaska,55,0,55
Golden Valley,North Dakota,26,0,26
Briscoe,Texas,0,17,17
Hayes,Nebraska,0,0,0
Billings,North Dakota,5,0,5
McCone,Montana,32,0,32
Garza,Texas,49,0,49
Irion,Texas,0,0,0
Barber,Kansas,49,0,49
Musselshell,Montana,8,0,8
Blaine,Nebraska,0,0,0
Kenedy,Texas,0,0,0
Quitman,Georgia,0,5,5
Rush,Kansas,9,0,9
Denali Borough,Alaska,44,0,44
Fallon,Montana,37,0,37
Sierra,California,25,0,25
Daggett,Utah,8,0,8
Eureka,Nevada,96,0,96
Loup,Nebraska,2,0,2
Brown,Nebraska,7,0,7
Potter,South Dakota,42,0,42
Esmeralda,Nevada,7,0,7
Hinsdale,Colorado,24,0,24
Jackson,Colorado,0,0,0
Meagher,Montana,31,0,31
Cheyenne,Colorado,3,3,6
San Juan,Colorado,7,0,7
Valley,Nebraska,16,0,16
Yakutat City and Borough,Alaska,195,16,211
McPherson,Nebraska,0,0,0
Treasure,Montana,0,0,0
Piute,Utah,2,0,2
Hodgeman,Kansas,5,0,5
Harding,South Dakota,41,0,41
Roberts,Texas,0,0,0
Wallace,Kansas,6,0,6
Terrell,Texas,2,0,2
Glasscock,Texas,0,0,0
Greeley,Kansas,7,0,7
Golden Valley,Montana,0,0,0
Kiowa,Colorado,0,0,0
Dolores,Colorado,13,0,13
Sheridan,North Dakota,11,0,11
Banner,Nebraska,0,0,0
Sioux,Nebraska,3,0,3
Maui,Hawaii,236,18272,18508
Arthur,Nebraska,2,0,2
Camas,Idaho,0,0,0
Sterling,Texas,0,0,0
Sully,South Dakota,17,0,17
Lane,Kansas,29,5,34
Boyd,Nebraska,24,0,24
Gove,Kansas,15,0,15
Kent,Texas,14,0,14
Loving,Texas,3,0,3
Stonewall,Texas,31,0,31
Sheridan,Montana,45,0,45
Frontier,Nebraska,20,0,20
Hooker,Nebraska,0,0,0
Campbell,South Dakota,5,0,5
Foard,Texas,0,0,0
Haakon,South Dakota,60,0,60
Grant,Nebraska,0,0,0
Bristol Bay Borough,Alaska,291,2,293
Chase,Nebraska,0,0,0
Mineral,Colorado,9,0,9
Lake and Peninsula Borough,Alaska,926,5,931
Harding,New Mexico,0,2,2
Deuel,Nebraska,29,0,29
