"","fips","county","state","pay_employ","employee_employ","pay_total","employee_total","pct_pay","pct_employee"
"1","01001","Autauga","Alabama",4179,79,373865,11397,1.11778315702192,0.693164867947706
"2","01003","Baldwin","Alabama",20717,477,2212640,64354,0.936302335671415,0.74121266743326
"3","01005","Barbour","Alabama",17293,424,248131,6980,6.96930250553135,6.07449856733524
"4","01007","Bibb","Alabama",12243,321,145171,3519,8.43350255905105,9.12190963341858
"5","01011","Bullock","Alabama",2188,48,67073,2070,3.26211739448064,2.31884057971015
"6","01013","Butler","Alabama",29048,562,202211,6175,14.365192793666,9.10121457489879
"7","01015","Calhoun","Alabama",17186,361,1287679,36341,1.33464939631694,0.993368371811453
"8","01017","Chambers","Alabama",22146,430,242236,6914,9.14232401459734,6.219265258895
"9","01019","Cherokee","Alabama",2314,50,130600,4413,1.77182235834609,1.13301608882846
"10","01021","Chilton","Alabama",25477,509,282943,7861,9.00428708255726,6.47500318025696
"11","01023","Choctaw","Alabama",13335,254,153403,2972,8.6927895803863,8.5464333781965
"12","01025","Clarke","Alabama",52169,1132,231212,6380,22.5632752625296,17.742946708464
"13","01027","Clay","Alabama",2167,74,120995,3601,1.79098309847514,2.05498472646487
"14","01029","Cleburne","Alabama",1002,24,67228,1681,1.49045040756828,1.42772159428911
"15","01031","Coffee","Alabama",809,20,463492,13217,0.174544544458157,0.151320269350079
"16","01033","Colbert","Alabama",17612,395,927774,23654,1.89830713083143,1.6699078379978
"17","01035","Conecuh","Alabama",17203,346,91508,2717,18.7994492284828,12.7346337872654
"18","01037","Coosa","Alabama",1518,33,41263,1059,3.67884060780845,3.11614730878187
"19","01039","Covington","Alabama",1766,36,363316,10270,0.486078234924969,0.350535540408958
"20","01041","Crenshaw","Alabama",5743,125,115202,3070,4.98515650769952,4.07166123778502
"21","01043","Cullman","Alabama",46763,863,912638,24938,5.12393742097086,3.46058224396503
"22","01045","Dale","Alabama",2798,70,557346,11045,0.502022083230166,0.6337709370756
"23","01047","Dallas","Alabama",9437,277,367558,9501,2.56748594779599,2.91548258078097
"24","01049","DeKalb","Alabama",1396,48,673121,18286,0.207392133063743,0.262495898501586
"25","01051","Elmore","Alabama",4573,92,514445,14980,0.888919126437228,0.61415220293725
"26","01053","Escambia","Alabama",30671,622,361756,10173,8.47836663386371,6.11422392607884
"27","01055","Etowah","Alabama",841,34,1044124,30301,0.0805459887906034,0.1122075179037
"28","01057","Fayette","Alabama",13362,339,108339,3183,12.3335087087752,10.6503298774741
"29","01059","Franklin","Alabama",31981,756,369361,10652,8.65846691989679,7.09725873075479
"30","01063","Greene","Alabama",684,15,44991,1379,1.52030406081216,1.08774474256708
"31","01065","Hale","Alabama",27220,453,75519,1982,36.0439094797336,22.8557013118063
"32","01067","Henry","Alabama",2689,89,231664,3418,1.16073278541336,2.60386190754827
"33","01069","Houston","Alabama",399,11,1696058,43904,0.0235251388808637,0.0250546647230321
"34","01071","Jackson","Alabama",10240,211,453577,12933,2.25761006400236,1.6314853475605
"35","01073","Jefferson","Alabama",17499,431,17640095,334980,0.0992001460309596,0.1286643978745
"36","01075","Lamar","Alabama",14575,322,124537,3220,11.703349205457,10
"37","01077","Lauderdale","Alabama",10143,208,815067,26317,1.24443757384362,0.790363643272409
"38","01081","Lee","Alabama",9021,184,1642011,47911,0.549387306175172,0.384045417545031
"39","01083","Limestone","Alabama",639,17,681979,17576,0.0936978997887032,0.0967228038233955
