county,state,pop
Sutter,California,95872
Tehama,California,63373
Trinity,California,12862
Tulare,California,460477
Tuolumne,California,53932
Ventura,California,848112
Yolo,California,214977
Yuba,California,75493
Adams,Colorado,497115
Alamosa,Colorado,16444
Arapahoe,Colorado,636671
Archuleta,Colorado,12908
Baca,Colorado,3563
Bent,Colorado,5809
Boulder,Colorado,321030
Broomfield,Colorado,66120
Chaffee,Colorado,19164
Cheyenne,Colorado,2039
Clear Creek,Colorado,9379
Conejos,Colorado,8142
Costilla,Colorado,3687
Crowley,Colorado,5630
Custer,Colorado,4640
Delta,Colorado,30346
Denver,Colorado,693417
Dolores,Colorado,1841
Douglas,Colorado,328614
Eagle,Colorado,54357
Elbert,Colorado,25162
El Paso,Colorado,688153
Fremont,Colorado,47002
Garfield,Colorado,58538
Gilpin,Colorado,5924
Grand,Colorado,15066
Gunnison,Colorado,16537
Hinsdale,Colorado,878
Huerfano,Colorado,6583
Jackson,Colorado,1296
Jefferson,Colorado,570427
Kiowa,Colorado,1449
Kit Carson,Colorado,7635
Lake,Colorado,7585
La Plata,Colorado,55101
Larimer,Colorado,338161
Las Animas,Colorado,14179
Lincoln,Colorado,5548
Logan,Colorado,21689
Mesa,Colorado,149998
Mineral,Colorado,823
Moffat,Colorado,13060
Montezuma,Colorado,25909
Montrose,Colorado,41268
Morgan,Colorado,28257
Otero,Colorado,18325
Ouray,Colorado,4722
Park,Colorado,17392
Phillips,Colorado,4318
Pitkin,Colorado,17909
Prowers,Colorado,12052
Pueblo,Colorado,164685
Rio Blanco,Colorado,6465
Rio Grande,Colorado,11351
Routt,Colorado,24874
Saguache,Colorado,6468
San Juan,Colorado,544
San Miguel,Colorado,7968
Sedgwick,Colorado,2350
Summit,Colorado,30429
Teller,Colorado,24113
Washington,Colorado,4840
Weld,Colorado,295123
Yuma,Colorado,10069
Fairfield,Connecticut,944348
Hartford,Connecticut,894730
Litchfield,Connecticut,183031
Middlesex,Connecticut,163368
New Haven,Connecticut,859339
New London,Connecticut,268881
Tolland,Connecticut,151269
Windham,Connecticut,116538
Kent,Delaware,174822
New Castle,Delaware,555133
Sussex,Delaware,219540
District of Columbia,District of Columbia,684498
Alachua,Florida,263148
Baker,Florida,27785
Bay,Florida,182482
Bradford,Florida,26979
Brevard,Florida,576808
Broward,Florida,1909151
Calhoun,Florida,14444
Charlotte,Florida,176954
Citrus,Florida,143087
Clay,Florida,207291
Collier,Florida,363922
Columbia,Florida,69105
DeSoto,Florida,36399
Dixie,Florida,16437
Duval,Florida,924229
Escambia,Florida,311522
Flagler,Florida,107139
Franklin,Florida,11736
Gadsden,Florida,46017
Gilchrist,Florida,17615
Glades,Florida,13363
Gulf,Florida,16055
Hamilton,Florida,14269
Hardee,Florida,27228
Hendry,Florida,40127
Hernando,Florida,182696
Highlands,Florida,102101
Hillsborough,Florida,1378883
Holmes,Florida,19430
Indian River,Florida,150984
Jackson,Florida,48472
Jefferson,Florida,14105
Lafayette,Florida,8744
Lake,Florida,335362
Lee,Florida,718679
Leon,Florida,288102
Levy,Florida,39961
Liberty,Florida,8365
Madison,Florida,18474
Manatee,Florida,373853
Marion,Florida,348371
Martin,Florida,157581
Miami-Dade,Florida,2715516
Monroe,Florida,76325
Nassau,Florida,80578
Okaloosa,Florida,200737
Okeechobee,Florida,40572
Orange,Florida,1321194
Osceola,Florida,338619
Palm Beach,Florida,1446277
Pasco,Florida,510593
Pinellas,Florida,957875
Polk,Florida,668671
Putnam,Florida,72766
St. Johns,Florida,235503
St. Lucie,Florida,305591
Santa Rosa,Florida,170442
Sarasota,Florida,412144
Seminole,Florida,455086
Sumter,Florida,120999
Suwannee,Florida,43924
Taylor,Florida,22098
Union,Florida,15239
Volusia,Florida,527634
Wakulla,Florida,31877
Walton,Florida,65858
Washington,Florida,24566
Appling,Georgia,18454
Atkinson,Georgia,8265
Bacon,Georgia,11228
Baker,Georgia,3189
Baldwin,Georgia,45286
Banks,Georgia,18510
Barrow,Georgia,76887
Bartow,Georgia,103620
Ben Hill,Georgia,17154
Berrien,Georgia,19025
Bibb,Georgia,153490
Bleckley,Georgia,12775
Brantley,Georgia,18561
Brooks,Georgia,15622
Bryan,Georgia,35885
Bulloch,Georgia,74782
Burke,Georgia,22550
Butts,Georgia,23750
Calhoun,Georgia,6428
Camden,Georgia,52714
Candler,Georgia,10827
Carroll,Georgia,116022
Catoosa,Georgia,66299
Charlton,Georgia,12983
Chatham,Georgia,287049
Chattahoochee,Georgia,10767
Chattooga,Georgia,24817
Cherokee,Georgia,241910
Clarke,Georgia,124602
Clay,Georgia,3001
Clayton,Georgia,278666
Clinch,Georgia,6743
Cobb,Georgia,745057
Coffee,Georgia,42961
Colquitt,Georgia,45606
Columbia,Georgia,147295
Cook,Georgia,17184
Coweta,Georgia,140516
Crawford,Georgia,12344
Crisp,Georgia,22846
Dade,Georgia,16227
Dawson,Georgia,23861
Decatur,Georgia,26833
DeKalb,Georgia,743187
Dodge,Georgia,20919
Dooly,Georgia,13905
Dougherty,Georgia,91049
Douglas,Georgia,141840
Early,Georgia,10348
Echols,Georgia,3994
Effingham,Georgia,58689
Elbert,Georgia,19212
Emanuel,Georgia,22499
Evans,Georgia,10727
Fannin,Georgia,24925
Fayette,Georgia,111369
Floyd,Georgia,96824
Forsyth,Georgia,219880
Franklin,Georgia,22514
Fulton,Georgia,1021902
Gilmer,Georgia,29922
Glascock,Georgia,3009
Glynn,Georgia,83974
Gordon,Georgia,56790
Grady,Georgia,24926
Greene,Georgia,16976
Gwinnett,Georgia,902298
Habersham,Georgia,44289
Hall,Georgia,195961
Hancock,Georgia,8535
Haralson,Georgia,28956
Harris,Georgia,33590
Hart,Georgia,25631
Heard,Georgia,11677
Henry,Georgia,221307
Houston,Georgia,151682
Irwin,Georgia,9268
Jackson,Georgia,65755
Jasper,Georgia,13784
Jeff Davis,Georgia,14991
Jefferson,Georgia,15772
Jenkins,Georgia,8827
Johnson,Georgia,9730
Jones,Georgia,28548
Lamar,Georgia,18513
Lanier,Georgia,10366
Laurens,Georgia,47418
Lee,Georgia,29348
Liberty,Georgia,62108
Lincoln,Georgia,7799
Long,Georgia,18156
Lowndes,Georgia,114582
Lumpkin,Georgia,31951
McDuffie,Georgia,21498
McIntosh,Georgia,14120
Macon,Georgia,13480
Madison,Georgia,28900
Marion,Georgia,8484
Meriwether,Georgia,21113
Miller,Georgia,5836
Mitchell,Georgia,22432
Monroe,Georgia,27010
Montgomery,Georgia,9036
Morgan,Georgia,18235
Murray,Georgia,39557
Muscogee,Georgia,196670
Newton,Georgia,106497
Oconee,Georgia,37017
Oglethorpe,Georgia,14784
Paulding,Georgia,155840
Peach,Georgia,26966
Pickens,Georgia,30832
Pierce,Georgia,19164
Pike,Georgia,18082
Polk,Georgia,41621
Pulaski,Georgia,11295
Putnam,Georgia,21503
Quitman,Georgia,2276
Rabun,Georgia,16457
Randolph,Georgia,7087
Richmond,Georgia,201463
Rockdale,Georgia,89011
Schley,Georgia,5211
Screven,Georgia,13990
Seminole,Georgia,8437
Spalding,Georgia,64719
Stephens,Georgia,25676
Stewart,Georgia,6042
Sumter,Georgia,30352
Talbot,Georgia,6378
Taliaferro,Georgia,1665
Tattnall,Georgia,25353
Taylor,Georgia,8193
Telfair,Georgia,16115
Terrell,Georgia,8859
Thomas,Georgia,44730
Tift,Georgia,40510
Toombs,Georgia,27048
Towns,Georgia,11417
Treutlen,Georgia,6777
Troup,Georgia,69774
Turner,Georgia,7962
Twiggs,Georgia,8284
Union,Georgia,22775
Upson,Georgia,26216
Walker,Georgia,68824
Walton,Georgia,90132
Ware,Georgia,35599
Warren,Georgia,5346
Washington,Georgia,20461
Wayne,Georgia,29767
Webster,Georgia,2613
Wheeler,Georgia,7939
White,Georgia,28928
Whitfield,Georgia,103849
Wilcox,Georgia,8846
Wilkes,Georgia,9884
Wilkinson,Georgia,9078
Worth,Georgia,20656
Hawaii,Hawaii,197658
Honolulu,Hawaii,987638
Kalawao,Hawaii,75
Kauai,Hawaii,71377
Maui,Hawaii,165281
Ada,Idaho,446052
Adams,Idaho,4019
Bannock,Idaho,85065
Bear Lake,Idaho,5962
Benewah,Idaho,9086
Bingham,Idaho,45551
Blaine,Idaho,21994
Boise,Idaho,7163
Bonner,Idaho,42711
Bonneville,Idaho,112397
Boundary,Idaho,11549
Butte,Idaho,2602
Camas,Idaho,886
Canyon,Idaho,212230
Caribou,Idaho,6918
Cassia,Idaho,23615
Clark,Idaho,1077
Clearwater,Idaho,8640
Custer,Idaho,4141
Elmore,Idaho,26433
Franklin,Idaho,13279
Fremont,Idaho,12965
Gem,Idaho,17052
Gooding,Idaho,15169
Idaho,Idaho,16337
Jefferson,Idaho,27969
Jerome,Idaho,23431
Kootenai,Idaho,153605
Latah,Idaho,39239
Lemhi,Idaho,7798
Lewis,Idaho,3845
Lincoln,Idaho,5321
Madison,Idaho,38705
Minidoka,Idaho,20615
Nez Perce,Idaho,40155
Oneida,Idaho,4326
Owyhee,Idaho,11455
Payette,Idaho,23041
Power,Idaho,7713
Shoshone,Idaho,12526
Teton,Idaho,11080
Twin Falls,Idaho,83666
Valley,Idaho,10401
Washington,Idaho,10025
Adams,Illinois,66427
Alexander,Illinois,6532
Bond,Illinois,16712
Boone,Illinois,53606
Brown,Illinois,6675
Bureau,Illinois,33381
Calhoun,Illinois,4858
Carroll,Illinois,14562
Cass,Illinois,12665
Champaign,Illinois,209448
Christian,Illinois,33231
Clark,Illinois,15836
Clay,Illinois,13338
Clinton,Illinois,37628
Coles,Illinois,51736
Cook,Illinois,5223719
Crawford,Illinois,19088
Cumberland,Illinois,10865
DeKalb,Illinois,104200
De Witt,Illinois,16042
Douglas,Illinois,19714
DuPage,Illinois,931743
Edgar,Illinois,17539
Edwards,Illinois,6507
Effingham,Illinois,34174
Fayette,Illinois,21724
Ford,Illinois,13398
Franklin,Illinois,39127
Fulton,Illinois,35418
Gallatin,Illinois,5157
Greene,Illinois,13218
Grundy,Illinois,50509
Hamilton,Illinois,8221
Hancock,Illinois,18112
Hardin,Illinois,4009
Henderson,Illinois,6884
Henry,Illinois,49464
Iroquois,Illinois,28169
Jackson,Illinois,58551
Jasper,Illinois,9598
Jefferson,Illinois,38169
Jersey,Illinois,22069
Jo Daviess,Illinois,21834
Johnson,Illinois,12602
Kane,Illinois,530839
Kankakee,Illinois,111061
Kendall,Illinois,124626
Knox,Illinois,50999
Lake,Illinois,703619
LaSalle,Illinois,110401
Lawrence,Illinois,16189
Lee,Illinois,34527
Livingston,Illinois,36324
Logan,Illinois,29207
McDonough,Illinois,30875
McHenry,Illinois,307789
McLean,Illinois,173219
Macon,Illinois,106512
Macoupin,Illinois,45719
Madison,Illinois,265670
Marion,Illinois,38084
Marshall,Illinois,11794
Mason,Illinois,13778
Massac,Illinois,14430
Menard,Illinois,12367
Mercer,Illinois,15693
Monroe,Illinois,33936
Montgomery,Illinois,29009
Morgan,Illinois,34426
Moultrie,Illinois,14703
Ogle,Illinois,51328
Peoria,Illinois,184463
Perry,Illinois,21384
Piatt,Illinois,16427
Pike,Illinois,15754
Pope,Illinois,4249
Pulaski,Illinois,5611
Putnam,Illinois,5746
Randolph,Illinois,32546
Richland,Illinois,15881
Rock Island,Illinois,145275
St. Clair,Illinois,263463
Saline,Illinois,24231
Sangamon,Illinois,197661
Schuyler,Illinois,7064
Scott,Illinois,5047
Shelby,Illinois,21832
Stark,Illinois,5500
Stephenson,Illinois,45433
Tazewell,Illinois,133852
Union,Illinois,17127
Vermilion,Illinois,78407
Wabash,Illinois,11573
Warren,Illinois,17338
Washington,Illinois,14155
Wayne,Illinois,16487
White,Illinois,14025
Whiteside,Illinois,56396
Will,Illinois,688697
Williamson,Illinois,67299
Winnebago,Illinois,286174
Woodford,Illinois,38817
Adams,Indiana,35195
Allen,Indiana,370016
Bartholomew,Indiana,81893
Benton,Indiana,8667
Blackford,Indiana,12129
Boone,Indiana,64321
Brown,Indiana,15034
Carroll,Indiana,19994
Cass,Indiana,38084
Clark,Indiana,115702
Clay,Indiana,26268
Clinton,Indiana,32301
Crawford,Indiana,10581
Daviess,Indiana,32937
Dearborn,Indiana,49501
Decatur,Indiana,26552
DeKalb,Indiana,42704
Delaware,Indiana,115616
Dubois,Indiana,42418
Elkhart,Indiana,203604
Fayette,Indiana,23259
Floyd,Indiana,76809
Fountain,Indiana,16486
Franklin,Indiana,22842
Fulton,Indiana,20212
Gibson,Indiana,33596
Grant,Indiana,66944
Greene,Indiana,32295
Hamilton,Indiana,316095
Hancock,Indiana,73830
Harrison,Indiana,39712
Hendricks,Indiana,160940
Henry,Indiana,48483
Howard,Indiana,82387
Huntington,Indiana,36378
Jackson,Indiana,43938
Jasper,Indiana,33449
Jay,Indiana,20993
Jefferson,Indiana,32237
Jennings,Indiana,27727
Johnson,Indiana,151564
Knox,Indiana,37409
Kosciusko,Indiana,78806
LaGrange,Indiana,38942
Lake,Indiana,486849
LaPorte,Indiana,110552
Lawrence,Indiana,45619
Madison,Indiana,129505
Marion,Indiana,944523
Marshall,Indiana,46595
Martin,Indiana,10210
Miami,Indiana,35901
Monroe,Indiana,145403
Montgomery,Indiana,38276
Morgan,Indiana,69727
Newton,Indiana,14018
Noble,Indiana,47451
Ohio,Indiana,5887
Orange,Indiana,19547
Owen,Indiana,20878
Parke,Indiana,16996
Perry,Indiana,19141
Pike,Indiana,12411
Porter,Indiana,168041
Posey,Indiana,25589
Pulaski,Indiana,12660
Putnam,Indiana,37559
Randolph,Indiana,25076
Ripley,Indiana,28425
Rush,Indiana,16704
St. Joseph,Indiana,269240
Scott,Indiana,23743
Shelby,Indiana,44399
Spencer,Indiana,20526
Starke,Indiana,22941
Steuben,Indiana,34474
Sullivan,Indiana,20792
Switzerland,Indiana,10628
Tippecanoe,Indiana,189294
Tipton,Indiana,15218
Union,Indiana,7153
Vanderburgh,Indiana,181313
Vermillion,Indiana,15560
Vigo,Indiana,107693
Wabash,Indiana,31631
Warren,Indiana,8247
Warrick,Indiana,61928
Washington,Indiana,27827
Wayne,Indiana,66613
Wells,Indiana,27947
White,Indiana,24217
Whitley,Indiana,33649
Adair,Iowa,7124
Adams,Iowa,3726
Allamakee,Iowa,13880
Appanoose,Iowa,12510
Audubon,Iowa,5637
Benton,Iowa,25626
Black Hawk,Iowa,133009
Boone,Iowa,26399
Bremer,Iowa,24782
Buchanan,Iowa,21125
Buena Vista,Iowa,20260
Butler,Iowa,14735
Calhoun,Iowa,9780
Carroll,Iowa,20344
Cass,Iowa,13191
Cedar,Iowa,18445
Cerro Gordo,Iowa,42984
Cherokee,Iowa,11468
Chickasaw,Iowa,12099
Clarke,Iowa,9282
Clay,Iowa,16313
Clayton,Iowa,17672
Clinton,Iowa,47218
Crawford,Iowa,17132
Dallas,Iowa,84002
Davis,Iowa,8885
Decatur,Iowa,8044
Delaware,Iowa,17258
Des Moines,Iowa,39600
Dickinson,Iowa,17056
Dubuque,Iowa,96802
Emmet,Iowa,9551
Fayette,Iowa,19929
Floyd,Iowa,15858
Franklin,Iowa,10245
Fremont,Iowa,6968
Greene,Iowa,9003
Grundy,Iowa,12341
Guthrie,Iowa,10674
Hamilton,Iowa,15110
Hancock,Iowa,10888
Hardin,Iowa,17127
Harrison,Iowa,14143
Henry,Iowa,19926
Howard,Iowa,9264
Humboldt,Iowa,9566
Ida,Iowa,6916
Iowa,Iowa,16207
Jackson,Iowa,19395
Jasper,Iowa,36891
Jefferson,Iowa,18077
Johnson,Iowa,147001
Jones,Iowa,20568
Keokuk,Iowa,10200
Kossuth,Iowa,15075
Lee,Iowa,34541
Linn,Iowa,222121
Louisa,Iowa,11223
Lucas,Iowa,8597
Lyon,Iowa,11769
Madison,Iowa,15890
Mahaska,Iowa,22208
Marion,Iowa,33207
Marshall,Iowa,40271
Mills,Iowa,14957
Mitchell,Iowa,10631
Monona,Iowa,8796
Monroe,Iowa,7863
Montgomery,Iowa,10155
Muscatine,Iowa,42950
O'Brien,Iowa,13911
Osceola,Iowa,6115
Page,Iowa,15363
Palo Alto,Iowa,9055
Plymouth,Iowa,25039
Pocahontas,Iowa,6898
Polk,Iowa,474274
Pottawattamie,Iowa,93503
Poweshiek,Iowa,18605
Ringgold,Iowa,4984
Sac,Iowa,9868
Scott,Iowa,172288
Shelby,Iowa,11694
Sioux,Iowa,34825
Story,Iowa,96922
Tama,Iowa,17136
Taylor,Iowa,6201
Union,Iowa,12453
Van Buren,Iowa,7223
Wapello,Iowa,35315
Warren,Iowa,49361
Washington,Iowa,22143
Wayne,Iowa,6413
Webster,Iowa,36757
Winnebago,Iowa,10571
Winneshiek,Iowa,20401
Woodbury,Iowa,102398
Worth,Iowa,7489
Wright,Iowa,12804
Allen,Kansas,12630
Anderson,Kansas,7852
Atchison,Kansas,16363
Barber,Kansas,4733
Barton,Kansas,26791
Bourbon,Kansas,14702
Brown,Kansas,9664
Butler,Kansas,66468
Chase,Kansas,2645
Chautauqua,Kansas,3367
Cherokee,Kansas,20331
Cheyenne,Kansas,2677
Clark,Kansas,2053
Clay,Kansas,8142
Cloud,Kansas,9060
Coffey,Kansas,8296
Comanche,Kansas,1780
Cowley,Kansas,35591
Crawford,Kansas,39108
Decatur,Kansas,2881
Dickinson,Kansas,19004
Doniphan,Kansas,7736
Douglas,Kansas,119319
Edwards,Kansas,2925
Elk,Kansas,2562
Ellis,Kansas,28878
Ellsworth,Kansas,6293
Finney,Kansas,36957
Ford,Kansas,34484
Franklin,Kansas,25563
Geary,Kansas,34895
Gove,Kansas,2619
Graham,Kansas,2545
Grant,Kansas,7616
Gray,Kansas,6037
Greeley,Kansas,1200
Greenwood,Kansas,6156
Hamilton,Kansas,2616
Harper,Kansas,5673
Harvey,Kansas,34555
Haskell,Kansas,4047
Hodgeman,Kansas,1842
Jackson,Kansas,13318
Jefferson,Kansas,18888
Jewell,Kansas,2916
Johnson,Kansas,585502
Kearny,Kansas,3932
Kingman,Kansas,7470
Kiowa,Kansas,2526
Labette,Kansas,20367
Lane,Kansas,1642
Leavenworth,Kansas,80042
Lincoln,Kansas,3097
Linn,Kansas,9635
Logan,Kansas,2810
Lyon,Kansas,33299
McPherson,Kansas,28630
Marion,Kansas,12032
Marshall,Kansas,9798
Meade,Kansas,4261
Miami,Kansas,33127
Mitchell,Kansas,6222
Montgomery,Kansas,32970
Morris,Kansas,5566
Morton,Kansas,2838
Nemaha,Kansas,10104
Neosho,Kansas,16125
Ness,Kansas,2955
Norton,Kansas,5486
Osage,Kansas,15882
Osborne,Kansas,3603
Ottawa,Kansas,5902
Pawnee,Kansas,6709
Phillips,Kansas,5408
Pottawatomie,Kansas,23545
Pratt,Kansas,9582
Rawlins,Kansas,2509
Reno,Kansas,63101
Republic,Kansas,4686
Rice,Kansas,9762
Riley,Kansas,75296
Rooks,Kansas,5118
Rush,Kansas,3102
Russell,Kansas,6977
Saline,Kansas,54977
Scott,Kansas,4949
Sedgwick,Kansas,512064
Seward,Kansas,22692
Shawnee,Kansas,178284
Sheridan,Kansas,2506
Sherman,Kansas,5966
Smith,Kansas,3663
Stafford,Kansas,4214
Stanton,Kansas,2063
Stevens,Kansas,5686
Sumner,Kansas,23208
Thomas,Kansas,7824
Trego,Kansas,2858
Wabaunsee,Kansas,6888
Wallace,Kansas,1575
Washington,Kansas,5525
Wichita,Kansas,2143
Wilson,Kansas,8780
Woodson,Kansas,3170
Wyandotte,Kansas,164345
Adair,Kentucky,19241
Allen,Kentucky,20794
Anderson,Kentucky,22214
Ballard,Kentucky,8090
Barren,Kentucky,43680
Bath,Kentucky,12268
Bell,Kentucky,27188
Boone,Kentucky,129095
Bourbon,Kentucky,20144
Boyd,Kentucky,48091
Boyle,Kentucky,29913
Bracken,Kentucky,8306
Breathitt,Kentucky,13116
Breckinridge,Kentucky,20080
Bullitt,Kentucky,79466
Butler,Kentucky,12745
Caldwell,Kentucky,12727
Calloway,Kentucky,38776
Campbell,Kentucky,92267
Carlisle,Kentucky,4841
Carroll,Kentucky,10711
Carter,Kentucky,27290
Casey,Kentucky,15796
Christian,Kentucky,72263
Clark,Kentucky,35872
Clay,Kentucky,20621
Clinton,Kentucky,10211
Crittenden,Kentucky,9083
Cumberland,Kentucky,6713
Daviess,Kentucky,99937
Edmonson,Kentucky,12122
Elliott,Kentucky,7517
Estill,Kentucky,14313
Fayette,Kentucky,318734
Fleming,Kentucky,14479
Floyd,Kentucky,36926
Franklin,Kentucky,50296
Fulton,Kentucky,6210
Gallatin,Kentucky,8703
Garrard,Kentucky,17328
Grant,Kentucky,24915
Graves,Kentucky,37294
Grayson,Kentucky,26178
Green,Kentucky,11023
Greenup,Kentucky,35765
Hancock,Kentucky,8719
Hardin,Kentucky,108095
Harlan,Kentucky,27134
Harrison,Kentucky,18668
Hart,Kentucky,18627
Henderson,Kentucky,46137
Henry,Kentucky,15814
Hickman,Kentucky,4568
Hopkins,Kentucky,45664
Jackson,Kentucky,13373
Jefferson,Kentucky,767154
Jessamine,Kentucky,52422
Johnson,Kentucky,22843
Kenton,Kentucky,164688
Knott,Kentucky,15513
Knox,Kentucky,31467
Larue,Kentucky,14156
Laurel,Kentucky,60180
Lawrence,Kentucky,15783
Lee,Kentucky,6751
Leslie,Kentucky,10472
Letcher,Kentucky,22676
Lewis,Kentucky,13490
Lincoln,Kentucky,24458
Livingston,Kentucky,9263
Logan,Kentucky,26849
Lyon,Kentucky,8186
McCracken,Kentucky,65284
